
eepr| Read config from EEPROM [41 times]. EEPROM used 710b ( reserved 710b). 20 waves with size 22b ( max 26b). yo size = 152b.
anim| Wave ID:   3. Web value: 666. И наш выбор: 'Костерок v3.ix'.

wifi| [1] Connecting to: hive2g.fps | 1434
..fps | 3193
.
wifi| Connection connect.
wifi| IP address: 192.168.1.9
fps | 3180
fps | 3191
fps | 3192
fps | 3191
fps | 3186
fps | 3190
fps | 3232
fps | 3196
fps | 3202
fps | 3201
fps | 3199
fps | 3193
fps | 3177
fps | 3177
fps | 3199
fps | 3198
fps | 3187
fps | 3218
fps | 3221
fps | 3195
fps | 3215
fps | 3196
fps | 3192
fps | 3196
fps | 3199
fps | 3206
fps | 3190
webs| Client reconnected! Last message ID that it gat is: 16846
fps | 3109
fps | 3200
fps | 3196
fps | 3191
fps | 3200
fps | 3223
fps | 3202
fps | 3198
fps | 3239
fps | 3184
fps | 3186
fps | 3197
fps | 3194
fps | 3214
fps | 3190
fps | 3180
fps | 3188
fps | 3196
fps | 3189
fps | 3228
fps | 3209
fps | 3217
fps | 3216
fps | 3214
fps | 3214
fps | 3210
fps | 3219
fps | 3220
fps | 3247
fps | 3209
fps | 3234
fps | 3190
fps | 3186
fps | 3182
fps | 3203
fps | 3200
fps | 3228
fps | 3211
fps | 3218
fps | 3199
fps | 3185
fps | 3194
fps | 3212
fps | 3222
fps | 3213
fps | 3208
fps | 3177
fps | 3197
fps | 3203
fps | 3191
fps | 3224
fps | 3193
fps | 3213
fps | 3190
fps | 3224
fps | 3207
fps | 3232
fps | 3233
fps | 3229
fps | 3218
fps | 3197
fps | 3199
fps | 3201
fps | 3220
fps | 3225
fps | 3209
fps | 3200
fps | 3223
fps | 3214
fps | 3207
fps | 3242
fps | 3197
fps | 3213
fps | 3240
fps | 3204
fps | 3196
fps | 3208
fps | 3191
fps | 3202
fps | 3200
fps | 3205
fps | 3218
fps | 3213
fps | 3215
fps | 3222
fps | 3209
fps | 3216
fps | 3220
fps | 3211
fps | 3211
fps | 3218
fps | 3263
